employee_id,full_name,department,gender,age,education_level,job_level,years_at_company,monthly_salary,performance_score,job_satisfaction,promotions,training_hours,left_company,attrition_reason,hire_date
EMP0237,Employee_237,HR,Female,35,HND,Mid-Level,9,84287,2.9,Medium,5,8.0,No,,2015-07-24
EMP0238,Employee_238,,Male,35,BSc,Senior,9,524162,2.1,,5,24.0,Yes,Poor Management,2008-02-28
EMP0239,Employee_239,Marketing,Male,38,OND,Senior,14,136359,1.7,,3,8.0,No,,2006-01-28
EMP0240,Employee_240,Sales,Male,27,OND,Mid-Level,13,305930,1.5,High,2,9.0,No,,2009-11-21
EMP0241,Employee_241,Marketing,Male,32,OND,Mid-Level,5,150220,,Low,0,4.0,Yes,Relocation,2010-06-12
EMP0242,Employee_242,Finance,Male,37,MSc,Junior,14,542660,3.9,High,2,33.0,No,,2019-10-09
EMP0243,Employee_243,Marketing,Male,33,HND,Mid-Level,11,218659,4.9,Low,0,36.0,No,,2007-06-27
EMP0244,Employee_244,Customer Service,Female,57,MSc,Senior,14,461423,2.5,,5,0.0,No,,2015-03-04
EMP0245,Employee_245,Customer Service,,26,MSc,Mid-Level,1,271772,4.6,Low,0,39.0,No,,2017-07-15
EMP0246,Employee_246,HR,Female,32,HND,Mid-Level,11,480480,2.8,High,0,10.0,No,,2013-07-23
EMP0247,Employee_247,IT,Female,22,OND,Mid-Level,13,291421,4.7,High,2,28.0,No,,2020-07-21
EMP0248,Employee_248,Finance,Male,48,HND,Junior,8,271856,2.5,Medium,5,22.0,No,,2010-02-05
EMP0249,Employee_249,Customer Service,,50,BSc,Mid-Level,1,103720,1.3,Medium,0,13.0,Yes,Better Offer,2006-03-04
EMP0250,Employee_250,,female,52,HND,Manager,2,290020,4.9,Low,5,40.0,Yes,Personal,2018-10-16
EMP0251,Employee_251,,Female,40,HND,Manager,12,106821,4.5,Low,1,9.0,No,,2023-11-15
EMP0252,Employee_252,Marketing,Male,24,High School,Manager,11,378991,1.5,High,5,26.0,Yes,Poor Management,2010-10-13
EMP0253,Employee_253,Finance,Male,36,BSc,Senior,16,374553,4.4,Medium,1,39.0,No,,2016-10-01
EMP0254,Employee_254,IT,Male,40,High School,Senior,5,182055,1.5,High,4,28.0,Yes,Career Growth,2009-08-16
EMP0255,Employee_255,Customer Service,Male,40,OND,Mid-Level,0,270066,5.0,High,1,13.0,No,,2008-07-15
EMP0256,Employee_256,Finance,Female,51,OND,Manager,4,370048,2.6,High,4,5.0,No,,2006-02-09
EMP0257,Employee_257,Marketing,Male,26,BSc,Junior,14,231310,1.5,Low,1,6.0,No,,2015-01-23
EMP0258,Employee_258,HR,Male,36,MSc,Manager,1,118551,4.9,Low,2,8.0,No,,2021-12-19
EMP0259,Employee_259,HR,,38,HND,Manager,4,282558,4.3,Medium,4,7.0,Yes,Work-Life Balance,2023-04-22
EMP0260,Employee_260,Customer Service,Male,34,High School,Senior,2,344375,4.0,Low,3,37.0,Yes,Career Growth,2015-09-17
EMP0261,Employee_261,HR,Male,49,BSc,Senior,7,316115,4.9,Low,3,24.0,Yes,Career Growth,2008-07-22
EMP0262,Employee_262,Network Operations,Male,29,High School,Junior,11,480767,2.9,High,1,22.0,Yes,Relocation,2012-08-12
EMP0263,Employee_263,IT,Female,56,HND,Senior,11,368283,3.9,Low,3,27.0,No,,2017-03-27
EMP0264,Employee_264,HR,Male,36,MSc,Junior,12,226654,2.7,High,5,20.0,No,,2022-10-02
EMP0265,Employee_265,HR,Female,31,High School,Senior,18,512700,2.5,,1,,No,,2005-11-06
EMP0266,Employee_266,NETWORK OPERATIONS,Female,39,BSc,Manager,1,406758,1.9,Low,1,,No,,2021-08-28
EMP0267,Employee_267,,Female,31,HND,Manager,4,436724,2.8,Medium,5,17.0,No,,2020-03-03
EMP0268,Employee_268,Finance,female,26,HND,Junior,14,400362,1.6,Low,5,5.0,No,,2020-06-08
EMP0269,Employee_269,IT,Female,25,MSc,Junior,11,142291,1.8,High,3,15.0,No,,2015-05-02
EMP0270,Employee_270,Sales,Male,32,BSc,Senior,11,147456,,Low,3,35.0,No,,2021-04-18
EMP0271,Employee_271,Customer Service,Female,41,HND,Senior,14,130688,,High,0,38.0,No,,2017-07-27
EMP0272,Employee_272,Customer Service,,58,High School,Junior,2,286518,1.1,Medium,5,38.0,No,,2012-02-15
EMP0273,Employee_273,Sales,Female,40,OND,Junior,18,275663,3.6,High,4,38.0,Yes,Relocation,2019-10-15
EMP0274,Employee_274,Network Operations,Male,50,BSc,Manager,4,496755,3.5,,1,18.0,Yes,Work-Life Balance,2007-08-15
EMP0275,Employee_275,Sales,Female,29,High School,Manager,16,257778,4.7,Medium,3,1.0,No,,2015-02-16
EMP0276,Employee_276,FINANCE,Female,51,MSc,Junior,11,372464,4.6,Medium,4,19.0,No,,2005-02-13
EMP0277,Employee_277,Finance,Male,41,MSc,Manager,12,271683,2.0,High,3,13.0,No,,2018-01-18
EMP0278,Employee_278,Customer Service,Female,47,HND,Mid-Level,10,475819,1.3,Low,3,33.0,No,,2022-01-27
EMP0279,Employee_279,Finance,Female,39,MSc,Senior,8,155637,,High,0,38.0,No,,2007-10-20
EMP0280,Employee_280,Customer Service,Male,54,OND,Manager,7,184363,,High,5,32.0,No,,2014-09-18
EMP0281,Employee_281,Sales,Female,56,High School,Mid-Level,3,395864,3.7,Low,1,12.0,No,,2011-11-22
EMP0282,Employee_282,SALES,Male,53,BSc,Junior,0,346926,4.5,High,1,25.0,Yes,Relocation,2019-06-12
EMP0283,Employee_283,HR,Female,50,HND,Manager,5,290442,2.0,High,2,18.0,No,,2006-04-28
EMP0284,Employee_284,HR,Female,27,BSc,Junior,15,342184,1.2,Medium,5,3.0,No,,2019-06-18
EMP0285,Employee_285,Sales,Female,24,High School,Senior,16,101105,2.8,Low,0,,No,,2020-12-22
EMP0286,Employee_286,Customer Service,Male,49,OND,Junior,12,103752,3.2,Low,4,31.0,No,,2016-12-15
EMP0287,Employee_287,Sales,Male,42,High School,Mid-Level,17,100402,4.0,Medium,0,24.0,No,,2008-02-25
EMP0288,Employee_288,Sales,male,38,High School,Junior,3,151846,,Low,4,7.0,Yes,Relocation,2012-01-11
EMP0289,Employee_289,Marketing,Male,23,HND,Mid-Level,8,454127,1.6,Low,1,15.0,Yes,Personal,2016-11-26
EMP0290,Employee_290,,Female,27,BSc,Manager,8,254609,5.0,Medium,2,31.0,Yes,Career Growth,2014-09-17
EMP0291,Employee_291,Sales,Male,36,High School,Manager,14,501509,1.9,High,2,40.0,No,,2016-12-04
EMP0292,Employee_292,Finance,Male,58,High School,Mid-Level,6,328378,4.7,High,1,38.0,Yes,Poor Management,2006-03-16
EMP0293,Employee_293,CUSTOMER SERVICE,Male,23,OND,Senior,9,352279,3.3,High,3,4.0,No,,2009-12-24
EMP0294,Employee_294,Network Operations,Female,39,MSc,Senior,15,319593,,Medium,0,33.0,No,,2018-02-09
EMP0295,Employee_295,HR,Female,58,OND,Senior,6,158087,4.1,Medium,2,0.0,No,,2011-04-04
EMP0296,Employee_296,IT,,24,BSc,Manager,3,397855,4.3,Low,5,23.0,No,,2017-04-15
EMP0297,Employee_297,Customer Service,Female,33,BSc,Manager,4,548258,1.9,High,3,20.0,No,,2011-12-11
EMP0298,Employee_298,Finance,Female,52,HND,Senior,2,350273,4.5,Medium,4,8.0,Yes,Personal,2008-07-02
EMP0299,Employee_299,Customer Service,,55,MSc,Junior,14,153285,4.9,,5,24.0,No,,2023-02-25
EMP0300,Employee_300,HR,Male,50,BSc,Senior,5,251948,3.1,Medium,2,36.0,No,,2019-08-22
EMP0156,Employee_156,Customer Service,Female,52,High School,Senior,5,317787,,Low,1,31.0,No,,2020-11-12
EMP0216,Employee_216,Marketing,Female,25,MSc,Manager,12,92151,3.0,High,2,,No,,2008-11-17
EMP0231,Employee_231,Customer Service,Male,41,High School,Senior,17,521895,2.7,High,4,5.0,No,,2021-02-24
EMP0088,Employee_88,IT,Female,58,HND,Junior,2,166327,,High,3,34.0,No,,2009-03-19
EMP0128,Employee_128,Network Operations,Female,53,BSc,Mid-Level,17,122584,4.3,High,3,8.0,No,,2023-04-28
EMP0075,Employee_75,Customer Service,Female,41,BSc,Junior,13,388169,2.2,Low,0,36.0,No,,2009-02-25
EMP0275,Employee_275,Sales,Female,29,High School,Manager,16,257778,4.7,Medium,3,1.0,No,,2015-02-16
EMP0212,Employee_212,,Female,47,HND,Manager,8,341493,4.4,Medium,4,0.0,No,,2017-02-18
EMP0036,Employee_36,MARKETING,Male,33,HND,Mid-Level,7,269213,1.8,Low,1,34.0,No,,2010-07-06
EMP0265,Employee_265,HR,Female,31,High School,Senior,18,512700,2.5,,1,,No,,2005-11-06
