employee_id,full_name,department,gender,age,education_level,job_level,years_at_company,monthly_salary,performance_score,job_satisfaction,promotions,training_hours,left_company,attrition_reason,hire_date,age_group,salary_band,tenure_group,perf_band
EMP0169,Employee_169,Hr,Female,29,Ond,Manager,1,243883,2.1,High,3,22,No,,2023-10-20,20-29,Mid (150k-300k),0-2 Years,Poor
EMP0170,Employee_170,It,Male,34,Ond,Manager,12,531666,2.3,High,4,31,No,,2007-08-07,30-39,Executive (450k+),10+ Years,Poor
EMP0171,Employee_171,Finance,Male,42,Ond,Manager,11,456629,3.3,Medium,0,22,No,,2021-02-28,40-49,Executive (450k+),10+ Years,Average
EMP0172,Employee_172,Sales,Male,29,High School,Manager,8,247413,3.3,Low,2,20,Yes,Relocation,2017-09-10,20-29,Mid (150k-300k),6-10 Years,Average
EMP0173,Employee_173,It,Male,56,Msc,Senior,0,464932,2.0,High,5,18,No,,2018-01-28,50+,Executive (450k+),0-2 Years,Poor
EMP0174,Employee_174,It,Female,33,Bsc,Mid-Level,11,531295,2.4,High,4,21,No,,2009-03-07,30-39,Executive (450k+),10+ Years,Poor
EMP0175,Employee_175,Finance,Female,34,Msc,Junior,2,261073,1.9,High,4,35,No,,2015-07-19,30-39,Mid (150k-300k),0-2 Years,Poor
EMP0176,Employee_176,Customer Service,Female,35,Ond,Senior,11,289042,3.7,High,5,36,No,,2019-03-11,30-39,Mid (150k-300k),10+ Years,Good
EMP0177,Employee_177,Finance,Male,52,Bsc,Manager,7,148559,2.9,Medium,0,8,Yes,Relocation,2010-02-16,50+,Entry (<150k),6-10 Years,Average
EMP0178,Employee_178,Network Operations,Female,39,Msc,Junior,3,478807,1.6,High,0,36,No,,2015-11-06,30-39,Executive (450k+),3-5 Years,Poor
EMP0179,Employee_179,Finance,Female,55,Ond,Senior,18,274269,3.7,Medium,1,31,Yes,Career Growth,2015-11-02,50+,Mid (150k-300k),10+ Years,Good
EMP0180,Employee_180,Marketing,Female,40,Ond,Manager,10,349997,4.7,Low,5,21,No,,2005-08-09,40-49,Senior (300k-450k),6-10 Years,Outstanding
EMP0181,Employee_181,Sales,Female,28,Bsc,Senior,4,374466,4.6,High,5,3,No,,2011-03-19,20-29,Senior (300k-450k),3-5 Years,Outstanding
EMP0182,Employee_182,Hr,Male,34,Hnd,Junior,1,135670,4.1,High,2,2,No,,2010-08-26,30-39,Entry (<150k),0-2 Years,Good
EMP0183,Employee_183,Customer Service,Male,40,Bsc,Mid-Level,11,247308,3.8,High,1,6,Yes,Relocation,2007-03-20,40-49,Mid (150k-300k),10+ Years,Good
EMP0184,Employee_184,Sales,Male,36,Hnd,Manager,17,206740,3.6,Medium,5,40,Yes,Low Salary,2018-11-14,30-39,Mid (150k-300k),10+ Years,Good
EMP0185,Employee_185,Hr,Male,45,High School,Junior,10,324565,4.8,Low,4,29,No,,2017-07-16,40-49,Senior (300k-450k),6-10 Years,Outstanding
EMP0186,Employee_186,Finance,Female,33,Bsc,Junior,5,144236,2.5,Low,0,1,Yes,Low Salary,2017-01-02,30-39,Entry (<150k),3-5 Years,Average
EMP0187,Employee_187,Marketing,Male,41,Hnd,Mid-Level,14,220232,3.1,High,4,7,No,,2022-04-24,40-49,Mid (150k-300k),10+ Years,Average
EMP0188,Employee_188,Network Operations,Male,22,Msc,Senior,15,315717,4.8,High,5,10,No,,2016-01-11,20-29,Senior (300k-450k),10+ Years,Outstanding
EMP0189,Employee_189,Marketing,Male,56,Ond,Mid-Level,5,209980,2.9,Medium,5,28,No,,2021-04-01,50+,Mid (150k-300k),3-5 Years,Average
EMP0190,Employee_190,Hr,Female,30,High School,Mid-Level,4,153860,2.8,High,5,29,No,,2005-11-24,30-39,Mid (150k-300k),3-5 Years,Average
EMP0191,Employee_191,Network Operations,Female,39,Bsc,Senior,2,130757,5.0,Medium,3,22,Yes,Low Salary,2012-04-23,30-39,Entry (<150k),0-2 Years,Outstanding
EMP0192,Employee_192,Sales,Female,24,Hnd,Senior,14,106531,2.5,Low,2,27,Yes,Career Growth,2016-05-05,20-29,Entry (<150k),10+ Years,Average
EMP0193,Employee_193,Network Operations,Male,25,Msc,Senior,1,232154,3.8,High,3,12,No,,2008-07-17,20-29,Mid (150k-300k),0-2 Years,Good
EMP0194,Employee_194,It,Female,57,Hnd,Junior,9,281405,4.7,High,0,8,Yes,Relocation,2023-05-06,50+,Mid (150k-300k),6-10 Years,Outstanding
EMP0195,Employee_195,Customer Service,Male,40,Bsc,Junior,6,533070,4.0,High,0,19,Yes,Poor Management,2007-01-10,40-49,Executive (450k+),6-10 Years,Good
EMP0196,Employee_196,It,Female,30,Hnd,Manager,1,402635,4.2,High,0,10,No,,2014-08-24,30-39,Senior (300k-450k),0-2 Years,Good
EMP0197,Employee_197,Customer Service,Male,53,Bsc,Manager,6,299223,4.3,Low,2,17,Yes,Relocation,2021-10-17,50+,Mid (150k-300k),6-10 Years,Good
EMP0198,Employee_198,Hr,Female,28,Hnd,Mid-Level,1,210165,4.0,Low,1,5,Yes,Poor Management,2015-07-22,20-29,Mid (150k-300k),0-2 Years,Good
EMP0199,Employee_199,Hr,Male,22,Ond,Mid-Level,10,533670,3.7,Low,4,23,No,,2009-06-16,20-29,Executive (450k+),6-10 Years,Good
EMP0200,Employee_200,Network Operations,Male,58,Bsc,Manager,9,163728,3.4,High,5,22,No,,2016-04-06,50+,Mid (150k-300k),6-10 Years,Average
EMP0201,Employee_201,Finance,Female,40,Bsc,Mid-Level,16,506496,4.1,Low,4,5,No,,2017-01-08,40-49,Executive (450k+),10+ Years,Good
EMP0202,Employee_202,Marketing,Female,52,High School,Senior,12,251670,3.1,Low,4,23,Yes,Relocation,2012-12-05,50+,Mid (150k-300k),10+ Years,Average
EMP0203,Employee_203,Customer Service,Male,52,Ond,Junior,17,382874,3.1,Low,4,10,No,,2011-12-01,50+,Senior (300k-450k),10+ Years,Average
EMP0204,Employee_204,Customer Service,Female,50,Bsc,Manager,15,740726,2.4,High,5,3,No,,2023-09-06,50+,Executive (450k+),10+ Years,Poor
EMP0205,Employee_205,Sales,Male,43,Msc,Junior,8,243952,4.7,High,4,25,Yes,Low Salary,2008-06-23,40-49,Mid (150k-300k),6-10 Years,Outstanding
EMP0206,Employee_206,Marketing,Male,33,Hnd,Manager,1,179527,1.4,Medium,1,40,No,,2006-07-21,30-39,Mid (150k-300k),0-2 Years,Poor
EMP0207,Employee_207,Hr,Female,25,Msc,Junior,6,480095,4.3,Medium,3,19,Yes,Relocation,2013-09-20,20-29,Executive (450k+),6-10 Years,Good
EMP0208,Employee_208,Network Operations,Female,38,Hnd,Manager,9,163541,3.1,Medium,2,14,No,,2006-10-02,30-39,Mid (150k-300k),6-10 Years,Average
EMP0209,Employee_209,Marketing,Female,52,Hnd,Junior,11,341234,1.8,Medium,3,27,No,,2008-11-27,50+,Senior (300k-450k),10+ Years,Poor
EMP0210,Employee_210,Hr,Male,29,High School,Senior,1,349864,3.1,Low,3,5,Yes,Relocation,2005-01-23,20-29,Senior (300k-450k),0-2 Years,Average
EMP0211,Employee_211,Finance,Female,26,Bsc,Manager,10,324745,3.1,Medium,5,6,No,,2008-07-15,20-29,Senior (300k-450k),6-10 Years,Average
EMP0212,Employee_212,Customer Service,Female,47,Hnd,Manager,8,341493,4.4,Medium,4,0,No,,2017-02-18,40-49,Senior (300k-450k),6-10 Years,Good
EMP0213,Employee_213,Customer Service,Male,53,High School,Manager,3,540888,2.8,Medium,5,22,Yes,Low Salary,2013-08-23,50+,Executive (450k+),3-5 Years,Average
EMP0214,Employee_214,Customer Service,Male,26,Msc,Senior,11,241764,3.7,High,4,30,No,,2009-04-23,20-29,Mid (150k-300k),10+ Years,Good
EMP0215,Employee_215,Network Operations,Female,58,High School,Junior,13,340765,3.9,Low,1,4,Yes,Career Growth,2005-05-14,50+,Senior (300k-450k),10+ Years,Good
EMP0216,Employee_216,Marketing,Female,25,Msc,Manager,12,92151,3.0,High,2,22,No,,2008-11-17,20-29,Entry (<150k),10+ Years,Average
EMP0217,Employee_217,Customer Service,Male,31,Bsc,Junior,14,127211,4.6,Low,0,37,No,,2013-10-20,30-39,Entry (<150k),10+ Years,Outstanding
EMP0218,Employee_218,Finance,Female,31,Hnd,Senior,12,286172,2.8,Medium,3,14,No,,2009-07-27,30-39,Mid (150k-300k),10+ Years,Average
EMP0219,Employee_219,Customer Service,Female,58,Ond,Mid-Level,10,344998,1.2,High,0,22,No,,2008-09-24,50+,Senior (300k-450k),6-10 Years,Poor
EMP0220,Employee_220,Finance,Male,41,Msc,Manager,5,319720,1.5,Low,2,28,No,,2008-05-04,40-49,Senior (300k-450k),3-5 Years,Poor
EMP0221,Employee_221,Sales,Female,27,Hnd,Senior,15,206211,2.7,High,3,0,No,,2008-08-07,20-29,Mid (150k-300k),10+ Years,Average
EMP0222,Employee_222,Customer Service,Female,37,Ond,Junior,15,192797,3.3,High,0,0,No,,2011-05-27,30-39,Mid (150k-300k),10+ Years,Average
EMP0223,Employee_223,Network Operations,Male,29,Ond,Manager,11,385840,3.2,Low,0,21,No,,2021-04-12,20-29,Senior (300k-450k),10+ Years,Average
EMP0224,Employee_224,It,Female,57,Msc,Junior,16,265018,3.7,Low,5,7,Yes,Career Growth,2018-05-06,50+,Mid (150k-300k),10+ Years,Good
EMP0225,Employee_225,Sales,Female,48,Hnd,Mid-Level,8,105510,2.2,Medium,1,27,No,,2006-09-16,40-49,Entry (<150k),6-10 Years,Poor
EMP0226,Employee_226,Sales,Female,36,Ond,Manager,2,106497,1.1,Medium,2,8,Yes,Relocation,2011-12-16,30-39,Entry (<150k),0-2 Years,Poor
EMP0227,Employee_227,Customer Service,Female,55,High School,Manager,13,227511,2.0,Medium,2,30,No,,2015-04-01,50+,Mid (150k-300k),10+ Years,Poor
EMP0228,Employee_228,Marketing,Female,46,High School,Junior,2,339467,1.0,High,2,22,No,,2005-11-03,40-49,Senior (300k-450k),0-2 Years,Poor
EMP0229,Employee_229,Marketing,Male,50,Hnd,Manager,13,393271,1.9,Medium,3,14,No,,2008-10-22,50+,Senior (300k-450k),10+ Years,Poor
EMP0230,Employee_230,Network Operations,Male,50,Bsc,Senior,5,542599,1.3,Low,1,24,No,,2020-03-03,50+,Executive (450k+),3-5 Years,Poor
EMP0231,Employee_231,Customer Service,Male,41,High School,Senior,17,521895,2.7,High,4,5,No,,2021-02-24,40-49,Executive (450k+),10+ Years,Average
EMP0232,Employee_232,Sales,Male,49,Msc,Mid-Level,9,423020,3.8,Low,3,6,No,,2008-05-21,40-49,Senior (300k-450k),6-10 Years,Good
EMP0233,Employee_233,Customer Service,Female,41,Hnd,Senior,10,432594,3.1,High,2,6,Yes,Relocation,2012-08-10,40-49,Senior (300k-450k),6-10 Years,Average
EMP0234,Employee_234,Customer Service,Female,58,Ond,Mid-Level,3,326723,1.2,Low,3,20,No,,2013-08-02,50+,Senior (300k-450k),3-5 Years,Poor
EMP0235,Employee_235,Sales,Male,25,High School,Junior,2,229814,4.6,Low,0,23,No,,2008-03-28,20-29,Mid (150k-300k),0-2 Years,Outstanding
EMP0236,Employee_236,Sales,Male,28,Hnd,Junior,10,361380,4.9,Medium,3,19,No,,2006-05-12,20-29,Senior (300k-450k),6-10 Years,Outstanding
EMP0237,Employee_237,Hr,Female,35,Hnd,Mid-Level,9,84287,2.9,Medium,5,8,No,,2015-07-24,30-39,Entry (<150k),6-10 Years,Average
EMP0238,Employee_238,Customer Service,Male,35,Bsc,Senior,9,524162,2.1,High,5,24,Yes,Poor Management,2008-02-28,30-39,Executive (450k+),6-10 Years,Poor
EMP0239,Employee_239,Marketing,Male,38,Ond,Senior,14,136359,1.7,High,3,8,No,,2006-01-28,30-39,Entry (<150k),10+ Years,Poor
EMP0240,Employee_240,Sales,Male,27,Ond,Mid-Level,13,305930,1.5,High,2,9,No,,2009-11-21,20-29,Senior (300k-450k),10+ Years,Poor
EMP0241,Employee_241,Marketing,Male,32,Ond,Mid-Level,5,150220,3.1,Low,0,4,Yes,Relocation,2010-06-12,30-39,Mid (150k-300k),3-5 Years,Average
EMP0242,Employee_242,Finance,Male,37,Msc,Junior,14,542660,3.9,High,2,33,No,,2019-10-09,30-39,Executive (450k+),10+ Years,Good
EMP0243,Employee_243,Marketing,Male,33,Hnd,Mid-Level,11,218659,4.9,Low,0,36,No,,2007-06-27,30-39,Mid (150k-300k),10+ Years,Outstanding
EMP0244,Employee_244,Customer Service,Female,57,Msc,Senior,14,461423,2.5,High,5,0,No,,2015-03-04,50+,Executive (450k+),10+ Years,Average
EMP0245,Employee_245,Customer Service,Male,26,Msc,Mid-Level,1,271772,4.6,Low,0,39,No,,2017-07-15,20-29,Mid (150k-300k),0-2 Years,Outstanding
EMP0246,Employee_246,Hr,Female,32,Hnd,Mid-Level,11,480480,2.8,High,0,10,No,,2013-07-23,30-39,Executive (450k+),10+ Years,Average
EMP0247,Employee_247,It,Female,22,Ond,Mid-Level,13,291421,4.7,High,2,28,No,,2020-07-21,20-29,Mid (150k-300k),10+ Years,Outstanding
EMP0248,Employee_248,Finance,Male,48,Hnd,Junior,8,271856,2.5,Medium,5,22,No,,2010-02-05,40-49,Mid (150k-300k),6-10 Years,Average
EMP0249,Employee_249,Customer Service,Male,50,Bsc,Mid-Level,1,103720,1.3,Medium,0,13,Yes,Better Offer,2006-03-04,50+,Entry (<150k),0-2 Years,Poor
EMP0250,Employee_250,Customer Service,Female,52,Hnd,Manager,2,290020,4.9,Low,5,40,Yes,Personal,2018-10-16,50+,Mid (150k-300k),0-2 Years,Outstanding
EMP0251,Employee_251,Customer Service,Female,40,Hnd,Manager,12,106821,4.5,Low,1,9,No,,2023-11-15,40-49,Entry (<150k),10+ Years,Outstanding
EMP0252,Employee_252,Marketing,Male,24,High School,Manager,11,378991,1.5,High,5,26,Yes,Poor Management,2010-10-13,20-29,Senior (300k-450k),10+ Years,Poor
EMP0253,Employee_253,Finance,Male,36,Bsc,Senior,16,374553,4.4,Medium,1,39,No,,2016-10-01,30-39,Senior (300k-450k),10+ Years,Good
EMP0254,Employee_254,It,Male,40,High School,Senior,5,182055,1.5,High,4,28,Yes,Career Growth,2009-08-16,40-49,Mid (150k-300k),3-5 Years,Poor
EMP0255,Employee_255,Customer Service,Male,40,Ond,Mid-Level,0,270066,5.0,High,1,13,No,,2008-07-15,40-49,Mid (150k-300k),0-2 Years,Outstanding
EMP0256,Employee_256,Finance,Female,51,Ond,Manager,4,370048,2.6,High,4,5,No,,2006-02-09,50+,Senior (300k-450k),3-5 Years,Average
EMP0257,Employee_257,Marketing,Male,26,Bsc,Junior,14,231310,1.5,Low,1,6,No,,2015-01-23,20-29,Mid (150k-300k),10+ Years,Poor
EMP0258,Employee_258,Hr,Male,36,Msc,Manager,1,118551,4.9,Low,2,8,No,,2021-12-19,30-39,Entry (<150k),0-2 Years,Outstanding
EMP0259,Employee_259,Hr,Male,38,Hnd,Manager,4,282558,4.3,Medium,4,7,Yes,Work-Life Balance,2023-04-22,30-39,Mid (150k-300k),3-5 Years,Good
EMP0260,Employee_260,Customer Service,Male,34,High School,Senior,2,344375,4.0,Low,3,37,Yes,Career Growth,2015-09-17,30-39,Senior (300k-450k),0-2 Years,Good
EMP0261,Employee_261,Hr,Male,49,Bsc,Senior,7,316115,4.9,Low,3,24,Yes,Career Growth,2008-07-22,40-49,Senior (300k-450k),6-10 Years,Outstanding
EMP0262,Employee_262,Network Operations,Male,29,High School,Junior,11,480767,2.9,High,1,22,Yes,Relocation,2012-08-12,20-29,Executive (450k+),10+ Years,Average
EMP0263,Employee_263,It,Female,56,Hnd,Senior,11,368283,3.9,Low,3,27,No,,2017-03-27,50+,Senior (300k-450k),10+ Years,Good
EMP0264,Employee_264,Hr,Male,36,Msc,Junior,12,226654,2.7,High,5,20,No,,2022-10-02,30-39,Mid (150k-300k),10+ Years,Average
EMP0265,Employee_265,Hr,Female,31,High School,Senior,18,512700,2.5,High,1,22,No,,2005-11-06,30-39,Executive (450k+),10+ Years,Average
EMP0266,Employee_266,Network Operations,Female,39,Bsc,Manager,1,406758,1.9,Low,1,22,No,,2021-08-28,30-39,Senior (300k-450k),0-2 Years,Poor
EMP0267,Employee_267,Customer Service,Female,31,Hnd,Manager,4,436724,2.8,Medium,5,17,No,,2020-03-03,30-39,Senior (300k-450k),3-5 Years,Average
EMP0268,Employee_268,Finance,Female,26,Hnd,Junior,14,400362,1.6,Low,5,5,No,,2020-06-08,20-29,Senior (300k-450k),10+ Years,Poor
EMP0269,Employee_269,It,Female,25,Msc,Junior,11,142291,1.8,High,3,15,No,,2015-05-02,20-29,Entry (<150k),10+ Years,Poor
EMP0270,Employee_270,Sales,Male,32,Bsc,Senior,11,147456,3.1,Low,3,35,No,,2021-04-18,30-39,Entry (<150k),10+ Years,Average
EMP0271,Employee_271,Customer Service,Female,41,Hnd,Senior,14,130688,3.1,High,0,38,No,,2017-07-27,40-49,Entry (<150k),10+ Years,Average
EMP0272,Employee_272,Customer Service,Male,58,High School,Junior,2,286518,1.1,Medium,5,38,No,,2012-02-15,50+,Mid (150k-300k),0-2 Years,Poor
EMP0273,Employee_273,Sales,Female,40,Ond,Junior,18,275663,3.6,High,4,38,Yes,Relocation,2019-10-15,40-49,Mid (150k-300k),10+ Years,Good
EMP0274,Employee_274,Network Operations,Male,50,Bsc,Manager,4,496755,3.5,High,1,18,Yes,Work-Life Balance,2007-08-15,50+,Executive (450k+),3-5 Years,Good
EMP0275,Employee_275,Sales,Female,29,High School,Manager,16,257778,4.7,Medium,3,1,No,,2015-02-16,20-29,Mid (150k-300k),10+ Years,Outstanding
EMP0276,Employee_276,Finance,Female,51,Msc,Junior,11,372464,4.6,Medium,4,19,No,,2005-02-13,50+,Senior (300k-450k),10+ Years,Outstanding
EMP0277,Employee_277,Finance,Male,41,Msc,Manager,12,271683,2.0,High,3,13,No,,2018-01-18,40-49,Mid (150k-300k),10+ Years,Poor
EMP0278,Employee_278,Customer Service,Female,47,Hnd,Mid-Level,10,475819,1.3,Low,3,33,No,,2022-01-27,40-49,Executive (450k+),6-10 Years,Poor
EMP0279,Employee_279,Finance,Female,39,Msc,Senior,8,155637,3.1,High,0,38,No,,2007-10-20,30-39,Mid (150k-300k),6-10 Years,Average
EMP0280,Employee_280,Customer Service,Male,54,Ond,Manager,7,184363,3.1,High,5,32,No,,2014-09-18,50+,Mid (150k-300k),6-10 Years,Average
EMP0281,Employee_281,Sales,Female,56,High School,Mid-Level,3,395864,3.7,Low,1,12,No,,2011-11-22,50+,Senior (300k-450k),3-5 Years,Good
EMP0282,Employee_282,Sales,Male,53,Bsc,Junior,0,346926,4.5,High,1,25,Yes,Relocation,2019-06-12,50+,Senior (300k-450k),0-2 Years,Outstanding
EMP0283,Employee_283,Hr,Female,50,Hnd,Manager,5,290442,2.0,High,2,18,No,,2006-04-28,50+,Mid (150k-300k),3-5 Years,Poor
EMP0284,Employee_284,Hr,Female,27,Bsc,Junior,15,342184,1.2,Medium,5,3,No,,2019-06-18,20-29,Senior (300k-450k),10+ Years,Poor
EMP0285,Employee_285,Sales,Female,24,High School,Senior,16,101105,2.8,Low,0,22,No,,2020-12-22,20-29,Entry (<150k),10+ Years,Average
EMP0286,Employee_286,Customer Service,Male,49,Ond,Junior,12,103752,3.2,Low,4,31,No,,2016-12-15,40-49,Entry (<150k),10+ Years,Average
EMP0287,Employee_287,Sales,Male,42,High School,Mid-Level,17,100402,4.0,Medium,0,24,No,,2008-02-25,40-49,Entry (<150k),10+ Years,Good
EMP0288,Employee_288,Sales,Male,38,High School,Junior,3,151846,3.1,Low,4,7,Yes,Relocation,2012-01-11,30-39,Mid (150k-300k),3-5 Years,Average
EMP0289,Employee_289,Marketing,Male,23,Hnd,Mid-Level,8,454127,1.6,Low,1,15,Yes,Personal,2016-11-26,20-29,Executive (450k+),6-10 Years,Poor
EMP0290,Employee_290,Customer Service,Female,27,Bsc,Manager,8,254609,5.0,Medium,2,31,Yes,Career Growth,2014-09-17,20-29,Mid (150k-300k),6-10 Years,Outstanding
EMP0291,Employee_291,Sales,Male,36,High School,Manager,14,501509,1.9,High,2,40,No,,2016-12-04,30-39,Executive (450k+),10+ Years,Poor
EMP0292,Employee_292,Finance,Male,58,High School,Mid-Level,6,328378,4.7,High,1,38,Yes,Poor Management,2006-03-16,50+,Senior (300k-450k),6-10 Years,Outstanding
EMP0293,Employee_293,Customer Service,Male,23,Ond,Senior,9,352279,3.3,High,3,4,No,,2009-12-24,20-29,Senior (300k-450k),6-10 Years,Average
EMP0294,Employee_294,Network Operations,Female,39,Msc,Senior,15,319593,3.1,Medium,0,33,No,,2018-02-09,30-39,Senior (300k-450k),10+ Years,Average
EMP0295,Employee_295,Hr,Female,58,Ond,Senior,6,158087,4.1,Medium,2,0,No,,2011-04-04,50+,Mid (150k-300k),6-10 Years,Good
EMP0296,Employee_296,It,Male,24,Bsc,Manager,3,397855,4.3,Low,5,23,No,,2017-04-15,20-29,Senior (300k-450k),3-5 Years,Good
EMP0297,Employee_297,Customer Service,Female,33,Bsc,Manager,4,548258,1.9,High,3,20,No,,2011-12-11,30-39,Executive (450k+),3-5 Years,Poor
EMP0298,Employee_298,Finance,Female,52,Hnd,Senior,2,350273,4.5,Medium,4,8,Yes,Personal,2008-07-02,50+,Senior (300k-450k),0-2 Years,Outstanding
EMP0299,Employee_299,Customer Service,Male,55,Msc,Junior,14,153285,4.9,High,5,24,No,,2023-02-25,50+,Mid (150k-300k),10+ Years,Outstanding
EMP0300,Employee_300,Hr,Male,50,Bsc,Senior,5,251948,3.1,Medium,2,36,No,,2019-08-22,50+,Mid (150k-300k),3-5 Years,Average
